home,home_pen_xg,away,away_pen_xg
IF Elfsborg,0.0,Djurgården,0.0
Kalmar FF,0.0,IF Elfsborg,0.0
Mjällby AIF,0.0,Halmstad,0.0
Östersund,0.0,Djurgården,0.0
Mjällby AIF,0.0,Varbergs BoIS FC,0.0
Östersund,0.0,Malmö FF,0.706736134000534
Mjällby AIF,0.0,AIK,0.0
Hammarby,0.0,Mjällby AIF,0.0
Halmstad,0.0,Djurgården,0.0
Mjällby AIF,0.0,Örebro,0.0
Djurgården,0.0,IFK Norrköping FK,0.0
Halmstad,0.0,Varbergs BoIS FC,0.0
Kalmar FF,0.0,IFK Norrköping FK,0.0
BK Häcken,0.0,IFK Norrköping FK,0.0
IFK Göteborg,0.0,Hammarby,0.0
IFK Norrköping FK,0.0,Örebro,0.0
Östersund,0.0,IK Sirius FK,0.0
Kalmar FF,0.0,Djurgården,0.0
IFK Norrköping FK,0.0,Djurgården,0.0
IF Elfsborg,0.0,IFK Norrköping FK,0.0
Malmö FF,0.0,Mjällby AIF,0.0
Djurgården,0.0,IF Elfsborg,0.0
Djurgården,0.0,IK Sirius FK,0.0
IK Sirius FK,0.0,IFK Göteborg,0.0
BK Häcken,0.0,Djurgården,0.0
Halmstad,0.0,Malmö FF,0.0
Mjällby AIF,0.0,Hammarby,0.0
Halmstad,0.0,Östersund,0.0
Malmö FF,0.7503890015945105,Örebro,0.0
IFK Göteborg,0.0,IK Sirius FK,0.0
Degerfors IF,0.0,Varbergs BoIS FC,0.0
Varbergs BoIS FC,0.0,Kalmar FF,0.0
Hammarby,0.0,Malmö FF,0.0
Malmö FF,0.0,Degerfors IF,0.0
IF Elfsborg,0.0,Östersund,0.0
BK Häcken,0.0,Kalmar FF,0.0
Örebro,0.0,Mjällby AIF,0.0
IFK Göteborg,0.0,IFK Norrköping FK,0.0
IFK Norrköping FK,0.0,Halmstad,0.0
Djurgården,0.0,Mjällby AIF,0.0
AIK,0.0,Halmstad,0.0
Örebro,0.0,IF Elfsborg,0.0
Östersund,0.0,Degerfors IF,0.0
Hammarby,0.0,Örebro,0.0
Hammarby,0.0,AIK,0.0
Örebro,0.0,Djurgården,0.0
Malmö FF,0.0,BK Häcken,0.0
Mjällby AIF,0.0,Malmö FF,0.0
IFK Göteborg,0.0,Djurgården,0.0
Varbergs BoIS FC,0.0,Halmstad,0.0
Djurgården,0.0,IFK Göteborg,0.0
Hammarby,0.0,Degerfors IF,0.0
Hammarby,0.0,IK Sirius FK,0.0
AIK,0.0,IK Sirius FK,0.0
Varbergs BoIS FC,0.0,Malmö FF,0.0
Kalmar FF,0.0,Malmö FF,0.0
IF Elfsborg,0.0,Malmö FF,0.0
Degerfors IF,0.8254403695332961,IFK Norrköping FK,0.0
IFK Göteborg,0.0,Varbergs BoIS FC,0.0
Djurgården,0.0,Östersund,0.0
Degerfors IF,0.0,IK Sirius FK,0.0
Mjällby AIF,0.0,IFK Göteborg,0.0
IF Elfsborg,0.0,AIK,0.0
Östersund,0.0,Varbergs BoIS FC,0.0
AIK,0.0,Hammarby,0.0
Djurgården,0.0,Varbergs BoIS FC,0.0
Örebro,0.0,Östersund,0.0
Djurgården,0.0,Hammarby,0.0
IFK Norrköping FK,0.0,IFK Göteborg,0.0
Malmö FF,0.0,Östersund,0.0
Hammarby,0.0,Varbergs BoIS FC,0.0
IF Elfsborg,0.0,IFK Göteborg,0.0
Halmstad,0.0,BK Häcken,0.0
IFK Göteborg,0.0,IF Elfsborg,0.0
Malmö FF,0.0,Kalmar FF,0.0
IFK Norrköping FK,0.0,AIK,0.0
Örebro,0.0,Malmö FF,0.0
Hammarby,0.0,IFK Norrköping FK,0.0
Halmstad,0.0,Hammarby,0.0
IFK Norrköping FK,0.0,BK Häcken,0.0
Degerfors IF,0.0,Örebro,0.0
Degerfors IF,0.0,Kalmar FF,0.7330397244520331
IFK Göteborg,0.0,Halmstad,0.0
Malmö FF,0.8702886614276902,Djurgården,0.0
BK Häcken,0.7838265103671629,IFK Göteborg,0.6591593763837612
AIK,0.0,Mjällby AIF,0.0
IK Sirius FK,0.0,Mjällby AIF,0.0
BK Häcken,0.8718207303088481,Varbergs BoIS FC,0.6633571734852117
Degerfors IF,0.0,AIK,0.0
Mjällby AIF,0.0,IK Sirius FK,0.0
AIK,0.0,Östersund,0.0
Halmstad,0.0,IK Sirius FK,0.0
IFK Göteborg,0.0,AIK,0.0
Halmstad,0.0,Örebro,0.0
Halmstad,0.850158730259078,Mjällby AIF,0.0
Mjällby AIF,0.0,Djurgården,0.0
Malmö FF,0.0,IFK Göteborg,0.7780816464300893
Djurgården,0.0,BK Häcken,0.0
BK Häcken,0.0,IF Elfsborg,0.0
Örebro,0.0,IFK Göteborg,0.0
AIK,0.0,Örebro,0.0
IK Sirius FK,0.0,Djurgården,0.0
IF Elfsborg,0.0,Kalmar FF,0.0
Halmstad,0.0,Degerfors IF,0.0
Varbergs BoIS FC,0.0,Östersund,0.0
IFK Göteborg,0.0,Östersund,0.0
IFK Norrköping FK,0.0,Degerfors IF,0.0
Varbergs BoIS FC,0.8865184917055453,IFK Göteborg,0.0
IK Sirius FK,0.0,Hammarby,0.0
Halmstad,0.0,IFK Norrköping FK,0.0
Östersund,0.0,Kalmar FF,0.0
Varbergs BoIS FC,0.0,Djurgården,0.6590736258986918
Hammarby,0.0,IF Elfsborg,0.0
Örebro,0.6599381176674505,BK Häcken,0.0
IK Sirius FK,0.0,IF Elfsborg,0.0
Kalmar FF,0.0,Mjällby AIF,0.0
Örebro,0.0,Halmstad,0.0
IF Elfsborg,0.0,BK Häcken,0.0
AIK,0.0,IFK Norrköping FK,0.0
Hammarby,0.6617844632687157,Östersund,0.0
Varbergs BoIS FC,0.0,Degerfors IF,0.0
Degerfors IF,0.0,IF Elfsborg,0.0
AIK,0.0,BK Häcken,0.0
AIK,0.0,Varbergs BoIS FC,0.0
Östersund,0.0,Mjällby AIF,0.0
Degerfors IF,0.8834480678766123,Halmstad,0.0
IF Elfsborg,0.0,Degerfors IF,0.0
IF Elfsborg,0.0,IK Sirius FK,0.0
Östersund,0.0,IF Elfsborg,0.7059289023578077
Varbergs BoIS FC,0.0,Mjällby AIF,0.6998325055707934
BK Häcken,0.7261002754389819,Östersund,0.0
Malmö FF,0.0,IK Sirius FK,0.0
IFK Norrköping FK,0.8702886614276902,Hammarby,0.0
Halmstad,0.0,Kalmar FF,0.0
Varbergs BoIS FC,0.0,IF Elfsborg,0.0
BK Häcken,0.0,Hammarby,0.0
IK Sirius FK,0.0,Örebro,0.0
Degerfors IF,0.0,Djurgården,0.0
Mjällby AIF,0.0,Kalmar FF,0.0
Varbergs BoIS FC,0.0,Örebro,0.0
Djurgården,0.0,Kalmar FF,0.0
Örebro,0.0,Varbergs BoIS FC,0.0
IFK Norrköping FK,0.0,Mjällby AIF,0.0
Degerfors IF,0.0,Mjällby AIF,0.0
Varbergs BoIS FC,0.0,Hammarby,0.0
IF Elfsborg,0.8151952361746253,Mjällby AIF,0.0
Kalmar FF,0.0,Örebro,0.0
IFK Norrköping FK,0.0,IK Sirius FK,0.0
Hammarby,0.0,Djurgården,0.0
Djurgården,0.0,Degerfors IF,0.0
Östersund,0.0,IFK Norrköping FK,0.0
IFK Göteborg,0.0,Degerfors IF,0.0
IK Sirius FK,0.0,Östersund,0.0
Örebro,0.0,Degerfors IF,0.0
AIK,0.0,Djurgården,0.0
Varbergs BoIS FC,0.0,AIK,0.0
