wk,date,time,home,homegoals,away,awaygoals,home_xg,away_xg
8,2021-05-24,18:30,Örebro,1,Malmö FF,2,0.7256893946290214,1.4859865818237596
9,2021-07-03,15:00,IFK Norrköping FK,3,Malmö FF,2,0.8884342855419651,2.0447704275239116
9,2021-07-03,17:30,Degerfors IF,3,Östersund,1,1.9584315797898348,1.929054282190839
9,2021-07-04,15:00,Varbergs BoIS FC,1,Kalmar FF,1,0.8701036871229819,1.3426675208269452
9,2021-07-04,15:00,BK Häcken,2,AIK,1,1.8151270980547036,1.0974760449765797
9,2021-07-04,17:30,IK Sirius FK,2,Mjällby AIF,1,1.3027913475284931,1.7737099375662
9,2021-07-04,17:30,Hammarby,1,Halmstad,1,1.3404347777087273,0.6243641101157761
9,2021-07-05,19:00,Djurgården,3,Örebro,0,3.438898414092724,0.7245214708674488
9,2021-07-05,19:00,IFK Göteborg,0,IF Elfsborg,1,1.2116642744342199,0.6727206173395359
10,2021-07-10,15:00,Malmö FF,4,IK Sirius FK,0,3.7547167983932397,0.5556576344090053
10,2021-07-10,17:30,AIK,2,Varbergs BoIS FC,1,1.8606545647546888,0.3971387404641556
10,2021-07-11,15:00,Hammarby,5,Degerfors IF,1,3.5459044131070585,0.836312567862419
10,2021-07-11,15:00,Mjällby AIF,0,IFK Norrköping FK,1,1.1095893188693575,1.028586960245965
10,2021-07-11,17:30,Östersund,2,IFK Göteborg,3,1.2167547433324986,2.062554963223711
10,2021-07-11,17:30,IF Elfsborg,2,Örebro,1,2.5186386966815317,0.718940018736882
10,2021-07-12,19:00,Kalmar FF,2,BK Häcken,3,0.9562942761166912,0.30876099323355544
10,2021-07-12,19:00,Halmstad,0,Djurgården,0,1.0997284318749674,0.3937795060322618
11,2021-07-17,15:00,Degerfors IF,0,Malmö FF,5,0.981233876698574,2.158424595877639
11,2021-07-17,17:30,IF Elfsborg,3,Östersund,0,2.8795325038687274,0.44373173076907024
11,2021-07-18,15:00,IFK Norrköping FK,0,BK Häcken,1,1.0622424272164102,0.9530718011970395
11,2021-07-18,15:00,Örebro,0,Hammarby,2,0.5342014513621811,0.9385220170077058
11,2021-07-18,17:30,AIK,2,Kalmar FF,0,1.3384407821098656,0.37465763754390713
11,2021-07-18,17:30,IFK Göteborg,3,Mjällby AIF,2,1.5512217369989239,0.6630751920959255
11,2021-07-19,19:00,Halmstad,1,Varbergs BoIS FC,1,1.1185087206916093,0.5973185692635912
11,2021-07-19,19:00,Djurgården,5,IK Sirius FK,1,3.8894513426589006,0.49241616884773615
12,2021-07-24,15:00,Mjällby AIF,0,Malmö FF,2,0.26504610748269414,1.8056734925611058
12,2021-07-24,17:30,IK Sirius FK,2,Degerfors IF,0,2.4636721656276466,0.8787031818935201
12,2021-07-25,15:00,Kalmar FF,0,Djurgården,1,0.20047181879985262,0.8552772557074231
12,2021-07-25,17:30,BK Häcken,1,IF Elfsborg,1,1.1593980498798793,0.6634176413493342
12,2021-07-25,17:30,Hammarby,2,IFK Norrköping FK,1,1.8570446268843728,2.0254960696257474
12,2021-07-26,19:00,Östersund,0,Halmstad,1,0.7247151263194315,2.259854941365668
12,2021-07-26,19:00,Örebro,1,AIK,1,1.2749215741093811,3.121992065929898
12,2021-07-26,19:00,Varbergs BoIS FC,2,IFK Göteborg,0,3.0509165929178073,0.5864402610462419
13,2021-05-20,18:30,Malmö FF,2,IF Elfsborg,1,2.3737262204470024,0.6423481200166581
13,2021-07-31,17:30,Degerfors IF,1,Varbergs BoIS FC,1,1.514835380937164,1.8909560523457816
13,2021-08-01,15:00,Djurgården,2,BK Häcken,1,1.2982753456591751,0.47467233244263024
13,2021-08-01,17:30,Kalmar FF,1,Mjällby AIF,0,0.9323895330952614,0.27845364453541277
13,2021-08-01,17:30,Östersund,1,Hammarby,1,0.5775431053211094,1.3955588705637358
13,2021-08-02,19:00,IFK Göteborg,1,IFK Norrköping FK,2,1.3256482623980808,0.5625529415021266
13,2021-08-02,19:00,IK Sirius FK,1,Örebro,2,1.1966125406967323,1.0210339989390016
13,2021-08-02,19:00,AIK,1,Halmstad,0,2.7174804183631758,0.923544837207635
14,2021-08-07,17:30,Halmstad,0,Malmö FF,0,0.3410331662785586,2.73315727343616
14,2021-08-07,17:30,Örebro,2,Mjällby AIF,2,2.5336259976548723,0.5268083766415211
14,2021-08-08,15:00,Djurgården,1,AIK,4,3.063029563827757,1.3533349466642501
14,2021-08-08,15:00,BK Häcken,5,Östersund,0,2.559040406897054,0.3104561746909238
14,2021-08-08,17:30,IFK Göteborg,0,Hammarby,0,0.687985861510638,2.2041054232633153
14,2021-08-08,17:30,IF Elfsborg,3,Degerfors IF,0,4.547560643176825,0.7941945680430249
14,2021-08-09,19:00,IFK Norrköping FK,1,Kalmar FF,2,1.4829441180285199,0.9322046044605988
14,2021-08-09,19:00,Varbergs BoIS FC,0,IK Sirius FK,0,1.4637812973233248,0.6867909650190938
15,2021-08-14,15:00,Malmö FF,2,IFK Göteborg,3,3.285078639590581,1.364592714352042
15,2021-08-14,17:30,Kalmar FF,1,Halmstad,1,0.27031237714694856,1.2946046074265107
