wk,date,time,home,homegoals,away,awaygoals
14,2021-08-09,19:00,Norrköping,1,Kalmar,2
14,2021-08-09,19:00,Varberg,0,Sirius,0
15,2021-08-14,15:00,Malmö,2,Göteborg,3
15,2021-08-14,17:30,Kalmar,1,Halmstad,1
15,2021-08-15,15:00,Degerfors,3,Häcken,0
15,2021-08-15,15:00,Mjällby,0,Djurgården,1
15,2021-08-15,17:30,Hammarby,0,Elfsborg,2
15,2021-08-15,17:30,Östersund,1,Norrköping,2
15,2021-08-16,19:00,Varberg,1,Örebro,0
15,2021-08-16,19:00,Sirius,0,AIK Stockholm,1
16,2021-08-21,15:00,Malmö,3,Degerfors,0
16,2021-08-22,15:00,Halmstad,2,Norrköping,1
16,2021-08-22,15:00,Elfsborg,2,Hammarby,2
16,2021-08-22,17:30,AIK Stockholm,2,Häcken,1
16,2021-08-22,17:30,Örebro,1,Sirius,1
16,2021-08-23,19:00,Djurgården,0,Mjällby,0
16,2021-08-23,19:00,Östersund,0,Kalmar,1
16,2021-08-23,19:00,Göteborg,1,Varberg,2
17,2021-08-28,15:00,AIK Stockholm,2,Örebro,0
17,2021-08-28,15:00,Degerfors,0,Mjällby,2
17,2021-08-28,17:30,Varberg,1,Halmstad,0
17,2021-08-29,15:00,Sirius,1,Djurgården,0
17,2021-08-29,15:00,Norrköping,3,Östersund,0
17,2021-08-29,15:00,Häcken,3,Göteborg,2
17,2021-08-29,17:30,Kalmar,0,Elfsborg,3
17,2021-08-29,17:30,Hammarby,2,Malmö,1
18,2021-09-11,15:00,Sirius,1,Östersund,0
18,2021-09-11,15:00,Malmö,1,Norrköping,1
18,2021-09-12,15:00,Kalmar,4,Degerfors,1
18,2021-09-12,15:00,Djurgården,4,Hammarby,1
18,2021-09-12,17:30,Göteborg,2,Halmstad,0
18,2021-09-13,19:00,Elfsborg,4,Häcken,2
18,2021-09-13,19:00,Mjällby,0,AIK Stockholm,0
18,2021-09-13,19:00,Örebro,0,Varberg,3
19,2021-09-18,15:00,Degerfors,1,Sirius,2
19,2021-09-18,15:00,Malmö,1,Djurgården,1
19,2021-09-18,17:30,Häcken,0,Mjällby,0
19,2021-09-19,15:00,Östersund,3,Elfsborg,1
19,2021-09-19,15:00,Norrköping,3,Örebro,0
19,2021-09-19,17:30,Halmstad,0,Kalmar,1
19,2021-09-20,19:00,AIK Stockholm,3,Göteborg,1
19,2021-09-20,19:00,Hammarby,1,Varberg,0
20,2021-09-22,19:00,Djurgården,3,Degerfors,2
20,2021-09-22,19:00,Sirius,2,Norrköping,4
20,2021-09-22,19:00,Elfsborg,0,Malmö,1
20,2021-09-22,19:00,Örebro,2,Östersund,0
20,2021-09-23,19:00,Varberg,1,Häcken,1
20,2021-09-23,19:00,Hammarby,3,Göteborg,0
20,2021-09-23,19:00,Kalmar,1,AIK Stockholm,1
20,2021-09-23,19:00,Mjällby,0,Halmstad,0
21,2021-09-25,17:30,Malmö,5,Örebro,1
21,2021-09-26,15:00,Mjällby,4,Elfsborg,0
21,2021-09-26,15:00,Östersund,0,Djurgården,3
21,2021-09-26,17:30,Häcken,1,Hammarby,1
21,2021-09-26,17:30,Norrköping,2,Varberg,1
21,2021-09-27,19:00,Degerfors,2,AIK Stockholm,1
21,2021-09-27,19:00,Halmstad,1,Sirius,1
21,2021-09-27,19:00,Göteborg,0,Kalmar,2
22,2021-10-01,19:00,Elfsborg,1,Göteborg,0
22,2021-10-02,15:00,Varberg,0,Degerfors,0
22,2021-10-02,17:30,Halmstad,1,Östersund,1
22,2021-10-03,15:00,Örebro,1,Häcken,2
22,2021-10-03,15:00,Kalmar,3,Sirius,1
22,2021-10-03,15:00,AIK Stockholm,1,Djurgården,0
22,2021-10-03,17:30,Norrköping,3,Hammarby,1
22,2021-10-03,17:30,Malmö,0,Mjällby,1
23,2021-10-16,15:00,Degerfors,2,Halmstad,1
23,2021-10-16,15:00,Östersund,0,Malmö,3
23,2021-10-16,17:30,Sirius,2,Varberg,1
23,2021-10-17,15:00,Hammarby,1,AIK Stockholm,0
23,2021-10-17,15:00,Mjällby,4,Kalmar,0
