playmakerai_name,fbref_name
Jonathan Syberg Tamimi,Jonathan Tamimi
Joona Toivio,Joona Toivio
Joseph Baffoe,Joseph Baffo
Joseph Colley,Joseph Colley
Joseph Stanley Okumu,Joseph Okumu
Josip Filipovic,Josip Filipovic
Jusef Erabi,Jusef Erabi
Justin Salmon,Justin Salmon
Jón Gudni Fjóluson,Jón Guðni Fjóluson
Kadir Hodzic,Kadir Hodzic
Kalle Holmberg,Kalle Holmberg
Kalpi Wilfried Ouattara,Kalpi Ouattara
Karl Axel Lindahl,Axel Lindahl
Karl Larson,Karl Larson
Keanin Ayer,Keanin Ayer Boya
Kevin Adrian Wright,Kevin Wright
Kevin Javier Alvarez Hernandez,Kevin Álvarez
Kevin Walker,Kevin Walker
Kevin Yakob,Kevin Yakob
Kolbeinn Sigþórsson,Kolbeinn Sigþórsson
Kristoffer Khazeni,Kristoffer Khazeni
Kristoffer Lund Hansen,Kristoffer Hansen
Kristoffer Nordfeldt,Kristoffer Nordfeldt
Laorent Shabani,Laorent Shabani
Lars Saetra,Lars Sætra
Lasse Ladegaard Nielsen,Lasse Nielsen
Leo Bengtsson,Leo Bengtsson
Leo Cornic,Leo Cornic
Leo Väisänen,Leo Väisänen
Linus Wahlqvist,Linus Wahlqvist
Lucas Hägg Johansson,Lucas Hägg-Johansson
Lucas Lima,Lucas Lima
Ludvig Carlius,Ludvig Carlius
Ludvig Fritzson,Ludvig Fritzson
Lukas Rhöse,Lukas Rhöse
Luke Le Roux,Luke Le Roux
Mads Fenger Nielsen,Lasse Nielsen
Magnus Eriksson,Magnus Eriksson
Magnus Wørts,Magnus Wørts
Maic Sema,Maic Sema
Malcolm Stolt,Malcolm Stolt
Malik Abubakari,Malik Abubakari
Malkolm Nilsson Säfqvist,Malkolm Nilsson
Malte Påhlsson,Malte Påhlsson
Mamudu Moro,Mamudo Moro
Manasse Kusu,Manasse Kusu
Marco Lund Nielsen,Marco Lund
Marco Weymans,Marco Weymans
Marcus Antonsson,Marcus Antonsson
Marcus Berg,Marcus Berg
Marcus Klingenberg Mathisen,Marcus Mathisen
Marek Hamšík,Marek Hamšík
Marko Johansson,Marko Johansson
Markus Björkqvist,Markus Björkvist
Marokhy Ndione,Marokhy Ndione
Martin Broberg,Martin Broberg
Martin Olsson,Martin Olsson
Mattias Bjärsmyr,Mattias Bjärsmyr
Maudo Lamine Jarjue,Maudo Jarjué
Maudo Lamine Jarjué,Maudo Jarjué
Max Watson,Max Watson
Mayckel Lahdo,Mayckel Lahdo
Mergim Krasniqi,Mergim Krasniqi
Michael Almebäck,Michael Almebäck
Mikael Boman,Mikael Boman
Mikael Lustig,Mikael Lustig
Mohammed Aziz Ouattara,Aziz Ouattara
Mohammed Khalid Saeid,Mohammed Saeid
Mohanad Jeahze,Mohanad Jeahze
Montader Madjed,Montader Madjed
Moustafa Benshi,Moustafa Benshi
Moustafa Zeidan,Moustafa Zeidan
Nabil Bahoui,Nabil Bahoui
Nahir Besara,Nahir Besara
Nahom Girmai Netabay,Nahom Netabay
Nasiru Mohammed,Nasiru Mohammed
Nasiru Moro,Nasiru Moro
Nebiyou Perry,Nebiyou Perry
Neftali Benedic Manzambi,Neftali Manzambi
Nicklas Bärkroth,Nicklas Bärkroth
Nicklas Maripuu,Nicklas Maripuu
Niclas Bergmark,Niclas Bergmark
Nicolas Stefanelli,Nicolás Stefanelli
Niklas Moisander,Niklas Moisander
Nikola Djurdjic,Nikola Đurđić
Nikolaos Dosis,Nikolaos Dosis
Nils Fröling,Nils Fröling
Noah Alexandersson,Noah Alexandersson
Noah Eile,Noah Eile
Noah Johansson,Noah Johansson
Noah Persson,Noah Persson
Noah Shamoun,Noah Shamoun
Noah Sonko Sundberg,Noah Sonko Sundberg
Noah Söderberg,Noah Söderberg
Noel Milleskog,Noel Milleskog
Nordin Gerzic,Nordin Gerzić
Ola Toivonen,Ola Toivonen
Oliver Alfonsi,Oliver Alfonsi
Oliver Berg,Oliver Berg
Oliver Dovin,Oliver Dovin
Oliver Ekroth,Oliver Ekroth
Oliver Stanisic,Oliver Stanisic
Oliver Zandén,Oliver Zandén
Olle Lindh,Olle Lindh
Oscar Jansson,Oscar Jansson
Oscar Lewicki,Oscar Lewicki
Oscar Vilhelmsson,Oscar Wilhelmsson
Oscar Wendt,Oscar Wendt
Oskar Sverrisson,Oskar Sverrisson
Otto Rosengren,Otto Rosengren
Ouattara Mohammed Aziz,Aziz Ouattara
Patrick Kpozo,Patrick Kpozo
Patrick Luan Dos Santos,Patrick
Patrick Nwadike,Patrick Nwadike
Patrik Wålemark,Patrik Wålemark
Paulo José De Oliveira,Paulinho
Pavle Vagic,Pavle Vagić
Per Frick,Per Frick
Per Karlsson,Per Karlsson
Peter Abrahamsson,Peter Abrahamsson
Peter Gwargis,Peter Gwargis
Phil Ofosu-Ayeh,Phil Ofosu-Ayeh
Philip Mårtensson,Philip Mårtensson
Piotr Johansson,Piotr Johansson
Pontus Dahlberg,Pontus Dahlberg
Pontus Wernbloom,Pontus Wernbloom
Rasmus Alm,Rasmus Alm
Rasmus Lindgren,Rasmus Lindgren
Rasmus Schüller,Rasmus Schüller
Rasmus Sjöstedt,Rasmus Sjöstedt
Richard Magyar,Richard Magyar
Rickard Emeka Friday,Richard Friday
Robert Gojani,Robert Gojani
Robin Simovic,Robin Simović
Robin Söder,Robin Söder
Robin Tranberg,Robin Tranberg
Romain Gall,Romain Gall
Romario Pereira Sipiao,Romário
Ronald Mukiibi,Ronald Mukiibi
Ryan Moon,Ryan Moon
Sadat Karim,Sadat Karim
Saku Ylätupa,Saku Ylätupa
Sam Garyahzon Johnson,Sam Johnson
Samir Maarouf,Samir Maarouf
Samuel Adeniyi Adegbenro,Samuel Adegbenro
Samuel Brolin,Samuel Brolin
Samuel Gustafson,Samuel Gustafson
Samuel Holmén,Samuel Holmén
Samuel Kroon,Samuel Kroon
Samuel Laryea Mensiro,Samuel Mensiro
Sargon Abraham,Sargon Abraham
Sead Haksabanovic,Sead Haksabanović
Sean Sabetkar,Sean Sabetkar
Sebastian Eriksson,Sebastian Eriksson
Sebastian Karlsson Grach,Sebastian Grach
Sebastian Lagerlund,Sebastian Lagerlund
Sebastian Larsson,Seb Larsson
Sebastian Nanasi,Sebastian Nanasi
Sebastian Ohlsson,Sebastian Ohlsson
Sebastian Olsson,Sebastian Ohlsson
Sebastian Ring,Sebastian Ring
Sergio Pena,Sergio Peña
Simon Karlsson Adjei,Simon Adjei
Simon Kroon,Simon Kroon
Simon Lundevall,Simon Lundevall
Simon Olsson,Simon Olsson
Simon Sandberg,Simon Sandberg
Simon Strand,Simon Strand
Simon Thern,Simon Thern
Sixten Mohlin,Sixten Mohlin
Sotirios Papagiannopoulos,Sotirios Papagiannopoulos
Stefan Silva,Stefan Silva
Stojan Lukic,Stojan Lukić
Sveinn Aron Gudjohnsen,Sveinn Guðjohnsen
Sveinn Gudjohnsen,Sveinn Guðjohnsen
Søren Rieks,Søren Rieks
Taha Abdi Ali,Taha Abdi Ali
Tashreeq Matthews,Tashreeq Matthews
Taylor Silverholt,Taylor Silverholt
Theodore Rask,Theodore Rask
Thomas Boakye,Thomas Boakye
Tim Björkström,Tim Björkström
Tim Olsson,Tim Olsson
Tim Rönning,Tim Rönning
Tobias Andersson,Tobias Andersson
Tobias Carlsson,Tobias Karlsson
Tobias Heintz,Tobias Heintz
Tobias Sana,Tobias Sana
Tom Strannegård,Tom Strannegard
Tommi Vaiho,Tommi Vaiho
Valgeir Fridriksson,Valgeir Lunddal Friðriksson
Veljko Birmancevic,Veljko Birmančević
Veljko Birmančević,Veljko Birmančević
Victor Backman,Victor Backman
Victor Edvardsen,Victor Edvardsen
Victor Karlsson,Victor Karlsson
Viktor Agardius,Viktor Agardius
Viktor Gustafson,Viktor Gustafsson
Villiam Dahlström,Villiam Dahlström
Vladimir Rodic,Vladimir Rodić
William Milovanovic,William Milovanovic
Williot Swedberg,Williot Swedberg
Yahav Gurfinkel,Yahav Gurfinkel
Yahya Kalley,Yahya Kalley
Yannick Armel Assiedou Adjoumani,Yannick Adjoumani
Yasin Ayari,Yasin Ayari
Yukiya Sugita,Yukiya Sugita
Zachary Elbouzedi,Zachary Elbouzedi
Ísak Bergmann Jóhannesson,Ísak Jóhannesson
