playmakerai_name,fbref_name
Abdelrahman Saidi,Abdelrahman Saidi
Abdul Rahman Khalili,Abdul Khalili
Abdul-Halik Hudu,Abdul-Halik Hudu
Abdulrazaq Ishaq,Ishaq Abdulrazak
Adam Carlén,Adam Carlén
Adam Hellborg,Adam Hellborg
Adam Ingi Benediktsson,Adam Benediktsson
Adam Petersson,Adam Petersson
Adam Ståhl,Adam Ståhl
Adam Vikman,Adam Vikman
Adama Fofana,Adama Fofana
Adhavan Rajamohan,Adhavan Rajamohan
Adi Nalic,Adi Nalic
Adnan Kojic,Adnan Kojic
Agon Mehmeti,Agon Mehmeti
Ahmed Awad,Ahmed Awad
Ahmed Qasem,Ahmed Qasem
Ahmed Yasin,Ahmed Awad
Aimar Sher,Aimar Sher
Akinkunmi Ayobami Amoo,Akinkunmi Amoo
Albert Ejupi,Albert Ejupi
Albin Mörfelt,Albin Mörfelt
Albin Winbo,Albin Winbo
Albion Ademi,Albion Ademi
Aleksandr Vasiutin,Aleksandr Vasyutin
Alexander Bernhardsson,Alexander Bernhardsson
Alexander Berntsson,Alexander Berntsson
Alexander Faltsetas,Alexander Faltsetas
Alexander Fransson,Alexander Fransson
Alexander Jallow,Alexander Jallow
Alexander Jeremejeff,Alexander Jeremejeff
Alexander Johansson,Alexander Johansson
Alexander Milošević,Alexander Milošević
Alfie Malik Whiteman,Alfie Whiteman
Alhassan Yusuf Abdullahi,Alhassan Yusuf
Ali Youssef,Ali Youssef
Aljosa Matko,Aljoša Matko
Aly Keita,Aly Keita
Amar Abdirahman Ahmed,Amar Ahmed
Amin Sarr,Amin Sarr
Amir Al-Ammari,Amir Al Ammari
Anders Bleg Christiansen,Anders Christiansen
Andreas Bengtsson,Andreas Bengtsson
Andreas Blomqvist,Andreas Blomqvist
Andreas Johansson,Andreas Johansson
Andreas Skovgaard Larsen,Andreas Skovgaard
Andrè Ibsen Rømer,André Rømer
André Boman,André Boman
André Rømer,André Rømer
Anel Ahmedhodzic,Anel Ahmedhodzic
Anton Ingves,Anton Ingves
Anton Kralj,Anton Kralj
Anton Liljenbäck,Anton Liljenbäck
Antonio Colak,Antonio Čolak
Antonio Mirko Colak,Antonio Čolak
Ari Freyr Skúlason,Ari Freyr Skúlason
Aron Bjarnason,Aron Bjarnason
Aslak Fonn Witry,Aslak Witry
Astrit Selmani,Astrit Seljmani
August Ahlin,August Ahlin
August Erlingmark,August Erlingmark
August Strömberg,August Strömberg
Axel Björnström,Axel Björnström
Axel Sjöberg,Axel Sjöberg
Bayere Junior Loue,Bayéré Junior Loué
Ben Engdahl,Ben Engdahl
Benjamin Hjertstrand,Benjamin Hjertstrand
Bernardo Vilar Estevão Jeronimo,Bernardo Jeronimo
Bilal Hussein,Bilal Hussein
Björn Paulsen,Bjørn Paulsen
Bjørn Paulsen,Bjørn Paulsen
Blair Sebastian Turgott,Blair Turgott
Bo Kristoffer Nordfeldt,Kristoffer Nordfeldt
Bobby Allain,Bobby Allain
Bojan Radulovic Samoukovic,Bojan Radulovic
Bonke Innocent,Bonke Innocent
Budimir Janosevic,Budimir Janošević
Bénie Adama Traore,Bénie Adama Traore
Carl Björk,Carl Björk
Carl Gustafsson,Carl Gustafsson
Carl Johansson,Carl Johansson
Carljohan Eriksson,Carljohan Eriksson
Carlos Moros Gracia,Carlos Moros Garcia
Charlie Colkett,Charlie Colkett
Christian Kouakou,Christian Kouakou
Christoffer Nyman,Christoffer Nyman
Christopher Mc Vey,Christopher McVey
Christopher Rasmus Nilsson Telo,Christopher Telo
Christos Gravius,Christos Gravius
Curtis Edwards,Curtis Edwards
Daan Klinkenberg,Daan Klinkenberg
Daleho Irandust,Daleho Irandust
Daleho Irandust 67,Daleho Irandust
Daniel Björnkvist,Daniel Björnquist
Daniel Janevski,Daniel Janevski
Daniel Krezic,Daniel Krezic
Darijan Bojanic,Darijan Bojanić
David Accam,David Accam
David Löfquist,David Löfquist
David Mitov Nilsson,David Mitov Nilsson
David Ousted,David Ousted
David Seger,David Seger
Davor Blazevic,Davor Blažević
Dean Solomons,Dean Solomons
Deniz Hümmet,Deniz Hummet
Dennis Collander,Dennis Collander
Dennis Widgren,Dennis Widgren
Des Kunst,Des Kunst
Dino Salihovic,Dino Salihovic
Douglas Bergqvist,Doug Bergqvist
Dusan Djuric,Dusan Djurić
Ebenezer Ofori,Ebenezer Ofori
Edi Sylisufaj,Edi Sylisufaj
Edvin Kurtulus,Edvin Kurtulus
Edward Chilufya,Edward Chilufya
Egzon Binaku,Egzon Binaku
Eirik Haugan,Eirik Haugan
Ekin Bulut,Ekin Bulut
Elias Andersson,Elias Andersson
Elias Olsson,Elias Olsson
Elliot Käck,Elliot Käck
Emanuel Chabo,Emanuel Chabo
Emil Tot Wikström,Emil Töt Wikström
Emin Nouri,Emin Nouri
Emir Kujovic,Emir Kujović
Emmanuel Boateng,Emmanuel Boateng
Emmanuel Justine Rabby Banda,Emmanuel Banda
Enock Kofi Adu,Enoch Kofi Adu
Erdal Rakip,Erdal Rakip
Eric Björkander,Eric Björkander
Eric Kahl,Eric Kahl
Eric Larsson,Eric Larsson
Erick Ouma Otieno,Eric Ouma
Erik Ahlstrand,Erik Ahlstrand
Erik Björndahl,Erik Björndahl
Erik Friberg,Erik Friberg
Erik Israelsson,Erik Israelsson
Erik Lindell,Erik Lindell
Erik Ring,Erik Ring
Felix Beijmo,Felix Beijmo
Felix Hörberg,Felix Hörberg
Ferhad Ayaz,Ferhad Ayaz
Filip Ambroz,Filip Ambroz
Filip Rogic,Filip Rogić
Filip Sachpekidis,Filip Sachpekidis
Francis Jno-Baptiste,Francis Jno-Baptiste
Frank Arhin,Frank Arhin
Franklin Degaulle Tebo Uchenna,Franklin Tebo
Franz Brorsson,Franz Brorsson
Frederik Holst,Frederik Holst
Gideon Mensah,Gideon Mensah
Godswill Ekpolo,Godswill Ekpolo
Gustaf Lagerbielke,Gustaf Lagerbielke
Gustaf Norlin,Gustaf Norlin
Gustav Berggren,Gustav Berggren
Gustav Granath,Gustav Granath
Gustav Ludwigson,Gustav Ludwigson
Gustav Svensson,Gustav Svensson
Hampus Finndell,Hampus Finndell
Hampus Zackrisson,Hampus Zackrisson
Hannes Sveijer,Hannes Sveijer
Haris Radetinac,Haris Radetinac
Henok Goitom,Henok Goitom
Henrik Bellman,Henrik Bellman
Henrik Castegren,Henrik Castegren
Henrik Löfkvist,Henrik Löfkvist
Herman Johansson,Herman Johansson
Herman Sjögrell,Herman Sjögrell
Hjalmar Ekdal,Hjalmar Ekdal
Hosam Aiesh,Hosam Aiesh
Hussein Ali,Hussein Ali
Hákon Valdimarsson,Hákon Rafn Valdimarsson
Ioannis Anestis,Giannis Anestis
Isak Dahlqvist,Isak Dahlqvist
Isak Hien,Isak Hien
Isak Jansson,Isak Jansson
Isak Magnusson,Isak Magnusson
Isak Ssali Ssewankambo,Isak Ssewankambo
Isak Vidjeskog,Isak Vidjeskog
Ismael Diawara,Ismael Diawara
Ivan Kričak,Ivan Kričak
Jack Cooper Love,Jack Cooper Love
Jacob Bergström,Jacob Bergström
Jacob Ondrejka,Jacob Ondrejka
Jacob Ortmark,Jacob Ortmark
Jacob Une Larsson,Jacob Une Larsson
Jacob Widell Zetterström,Jacob Zetterström
Jake Larsson,Jake Larsson
Jakob Andersson,Jakob Andersson
Jamie Roche,Jamie Roche
Jasse Tuominen,Jasse Tuominen
Jean Carlos De Brito,Jean
Jeffrey Gal,Jeffrey Gal
Jeppe Andrup Andersen,Jeppe Andersen
Jeppe Møldrup Okkels,Jeppe Okkels
Jerell Anthony Sellars,Jerell Sellars
Jesper Gustavsson,Jesper Gustavsson
Jesper Löfgren,Jesper Löfgren
Jesper Nyholm,Jesper Nyholm
Jesper Tolinsson,Jesper Tolinsson
Jetmir Haliti,Jetmir Haliti
Jiloan Mohamed Hamad,Jiloan Hamad
Jo Inge Berget,Jo Inge Berget
Joakim Lindner,Joakim Lindner
Joakim Persson,Joakim Persson
Joel Allansson,Joel Allansson
Joel Asoro,Joel Asoro
Joel Nilsson,Joel Nilsson
Johan Arvidsson,Johan Arvidsson
Johan Bertilsson,Johan Bertilsson
Johan Brattberg,Johan Brattberg
Johan Dahlin,Johan Dahlin
Johan Hammar,Johan Hammar
Johan Karlsson,Johan Karlsson
Johan Larsson,Johan Larsson
Johan Mårtensson,Johan Mårtensson
Johan Stenmark,Johan Stenmark
Johannes Bjarnason,Jóhannes Bjarnason
Jon Birkfeldt,Jon Birkfeldt
Jonas Bruun Knudsen,Jonas Knudsen
Jonathan Levi,Jonathan Levi
Jonathan Ring,Jonathan Ring
