player_name,team_name,minutes_played
Antonio Mirko Colak,Malmö FF,1572
Martin Olsson,Malmö FF,1167
Leo Väisänen,IF Elfsborg,2364
Simon Strand,IF Elfsborg,2485
Rasmus Alm,IF Elfsborg,1545
Jacob Ondrejka,IF Elfsborg,1106
Maudo Lamine Jarjué,IF Elfsborg,1930
Tim Rönning,IF Elfsborg,2393
Simon Olsson,IF Elfsborg,1483
Anel Ahmedhodzic,Malmö FF,2564
Johan Dahlin,Malmö FF,1752
Marokhy Ndione,IF Elfsborg,1141
Andrè Ibsen Rømer,IF Elfsborg,1809
Alexander Bernhardsson,IF Elfsborg,882
Lasse Ladegaard Nielsen,Malmö FF,2144
Frederik Holst,IF Elfsborg,2067
Franz Brorsson,Malmö FF,1927
Jeppe Møldrup Okkels,IF Elfsborg,2120
Felix Beijmo,Malmö FF,1613
Marcus Antonsson,Halmstad,2385
Theodore Rask,IFK Norrköping FK,1493
Christoffer Nyman,IFK Norrköping FK,950
Ismael Diawara,Malmö FF,1199
Malik Abubakari,Malmö FF,777
Sebastian Nanasi,Malmö FF,1588
Williot Swedberg,Hammarby,952
Jusef Erabi,Hammarby,561
Albion Ademi,Djurgården,968
Jón Gudni Fjóluson,Hammarby,1909
Jesper Nyholm,Djurgården,589
Abdul Rahman Khalili,Hammarby,998
Søren Rieks,Malmö FF,1343
Peter Gwargis,Malmö FF,300
Viktor Agardius,IFK Norrköping FK,2002
Simon Lundevall,Halmstad,1820
Oscar Wendt,IFK Göteborg,1408
Erik Ahlstrand,Halmstad,1264
Sebastian Eriksson,IFK Göteborg,1214
Sargon Abraham,Degerfors IF,1409
Sebastian Olsson,Degerfors IF,1415
Victor Backman,Kalmar FF,1353
Lucas Hägg Johansson,Kalmar FF,2454
Villiam Dahlström,Degerfors IF,765
Isak Jansson,Kalmar FF,1253
Joona Toivio,BK Häcken,2615
Sveinn Aron Gudjohnsen,IF Elfsborg,43
Tobias Heintz,BK Häcken,1304
Erik Friberg,BK Häcken,1092
Niclas Bergmark,Örebro,1034
Noel Milleskog,Örebro,720
Alexander Johansson,Halmstad,953
Anton Ingves,Örebro,491
Henrik Bellman,Östersund,1765
Rasmus Lindgren,BK Häcken,851
Sebastian Karlsson Grach,Östersund,1277
Oskar Sverrisson,BK Häcken,1073
Frank Arhin,Östersund,1699
Francis Jno-Baptiste,Östersund,1870
Robin Simovic,Varbergs BoIS FC,1398
Douglas Bergqvist,Kalmar FF,1412
Herman Sjögrell,IK Sirius FK,1067
Curtis Edwards,Djurgården,638
Isak Hien,Djurgården,243
Oscar Vilhelmsson,IFK Göteborg,1307
Kalle Holmberg,Djurgården,1953
Ryan Moon,Varbergs BoIS FC,1525
Niklas Moisander,Malmö FF,628
Oscar Lewicki,Malmö FF,643
Christopher Rasmus Nilsson Telo,IFK Norrköping FK,1114
Egzon Binaku,IFK Norrköping FK,550
Sergio Pena,Malmö FF,622
Magnus Wørts,Mjällby AIF,1225
Filip Rogic,AIK,800
Anders Bleg Christiansen,Malmö FF,1551
Anton Kralj,Degerfors IF,1584
Sveinn Gudjohnsen,IF Elfsborg,447
Hákon Valdimarsson,IF Elfsborg,478
Samuel Holmén,IF Elfsborg,1071
Justin Salmon,Degerfors IF,1070
Keanin Ayer,Varbergs BoIS FC,263
Ekin Bulut,IK Sirius FK,520
Adam Petersson,Mjällby AIF,729
Eric Björkander,Mjällby AIF,1038
Samuel Brolin,Mjällby AIF,1045
David Mitov Nilsson,IK Sirius FK,1590
Mohammed Khalid Saeid,IK Sirius FK,399
Axel Björnström,IK Sirius FK,849
Patrick Nwadike,IK Sirius FK,945
Emir Kujovic,Djurgården,1257
Aslak Fonn Witry,Djurgården,1337
Isak Magnusson,Kalmar FF,540
Emin Nouri,Kalmar FF,1160
Adama Fofana,Varbergs BoIS FC,1000
Montader Madjed,Varbergs BoIS FC,227
Daniel Björnkvist,Örebro,1259
Deniz Hümmet,Örebro,1344
Romain Gall,Örebro,723
Erik Björndahl,Örebro,379
Gustav Granath,Degerfors IF,1265
Adhavan Rajamohan,Degerfors IF,899
Ismael Diawara,Degerfors IF,1221
Ferhad Ayaz,Degerfors IF,1224
Eric Kahl,AIK,200
Martin Olsson,BK Häcken,830
Stefan Silva,AIK,714
Valgeir Fridriksson,BK Häcken,2081
Budimir Janosevic,AIK,1511
Per Karlsson,AIK,1341
Saku Ylätupa,AIK,1206
Amin Sarr,Malmö FF,169
Ísak Bergmann Jóhannesson,IFK Norrköping FK,1386
Jonas Bruun Knudsen,Malmö FF,1098
Lucas Lima,IFK Norrköping FK,234
Antonio Colak,Malmö FF,745
Pavle Vagic,Malmö FF,802
Karl Larson,IK Sirius FK,1215
Daniel Janevski,Degerfors IF,1148
Noah Söderberg,IF Elfsborg,496
Jack Cooper Love,IF Elfsborg,163
Robert Gojani,IF Elfsborg,1256
Isak Ssali Ssewankambo,Östersund,1506
Oliver Dovin,Hammarby,929
Bayere Junior Loue,Hammarby,563
Aimar Sher,Hammarby,688
David Accam,Hammarby,787
Josip Filipovic,Mjällby AIF,724
Yahya Kalley,IFK Göteborg,888
Kolbeinn Sigþórsson,IFK Göteborg,1416
Samuel Gustafson,BK Häcken,141
Daleho Irandust 67,BK Häcken,6
André Rømer,IF Elfsborg,661
Dusan Djuric,Halmstad,2191
Des Kunst,Varbergs BoIS FC,361
Sead Haksabanovic,IFK Norrköping FK,665
Albin Mörfelt,Varbergs BoIS FC,336
Kevin Javier Alvarez Hernandez,IFK Norrköping FK,422
Marko Johansson,Malmö FF,856
Ola Toivonen,Malmö FF,534
Joseph Stanley Okumu,IF Elfsborg,563
Pontus Wernbloom,IFK Göteborg,157
Nebiyou Perry,Östersund,565
Ouattara Mohammed Aziz,Hammarby,355
Tommi Vaiho,Djurgården,257
Aleksandr Vasiutin,Djurgården,1166
William Milovanovic,BK Häcken,498
Neftali Benedic Manzambi,Mjällby AIF,332
Daan Klinkenberg,Mjällby AIF,1104
Pontus Dahlberg,BK Häcken,760
Marek Hamšík,IFK Göteborg,557
Johan Brattberg,BK Häcken,192
Yannick Armel Assiedou Adjoumani,BK Häcken,775
Jeffrey Gal,Degerfors IF,387
Sixten Mohlin,Östersund,1273
Alhassan Yusuf Abdullahi,IFK Göteborg,802
Axel Sjöberg,Hammarby,355
Jesper Tolinsson,IFK Göteborg,738
Veljko Birmancevic,Malmö FF,124
Ahmed Awad,Östersund,982
Daleho Irandust,BK Häcken,331
Henrik Löfkvist,Kalmar FF,331
Elias Olsson,Kalmar FF,723
Yahav Gurfinkel,IFK Norrköping FK,1085
Herman Johansson,Mjällby AIF,242
Maudo Lamine Jarjue,IF Elfsborg,95
Ahmed Qasem,IF Elfsborg,523
Adnan Kojic,Varbergs BoIS FC,219
Bjørn Paulsen,Hammarby,188
Noah Eile,Malmö FF,231
Dean Solomons,Varbergs BoIS FC,398
Ronald Mukiibi,Östersund,630
Taha Abdi Ali,Örebro,672
Alexander Berntsson,Halmstad,2053
Moustafa Benshi,Kalmar FF,109
Johan Arvidsson,Kalmar FF,212
Malte Påhlsson,Halmstad,568
Joakim Persson,IK Sirius FK,512
Phil Ofosu-Ayeh,Halmstad,20
August Strömberg,Varbergs BoIS FC,665
Dennis Widgren,Hammarby,505
Ludvig Carlius,Mjällby AIF,210
Samir Maarouf,BK Häcken,568
Noah Alexandersson,IFK Göteborg,676
Adam Vikman,IK Sirius FK,521
Abdul-Halik Hudu,Hammarby,192
Oliver Zandén,IF Elfsborg,883
Nasiru Mohammed,BK Häcken,61
Adam Ingi Benediktsson,IFK Göteborg,283
Olle Lindh,Kalmar FF,105
Aron Bjarnason,IK Sirius FK,25
Jetmir Haliti,AIK,346
Otto Rosengren,Mjällby AIF,70
Markus Björkqvist,Malmö FF,606
Franklin Degaulle Tebo Uchenna,BK Häcken,449
Daniel Krezic,Varbergs BoIS FC,34
Jakob Andersson,Degerfors IF,491
Noah Johansson,Varbergs BoIS FC,18
Gustaf Lagerbielke,IF Elfsborg,668
Lukas Rhöse,Kalmar FF,1174
Isak Vidjeskog,Kalmar FF,293
Tim Olsson,IK Sirius FK,11
Nicklas Maripuu,Degerfors IF,67
Elias Andersson,Djurgården,937
Ben Engdahl,Hammarby,106
Ahmed Yasin,Örebro,186
Emanuel Chabo,IFK Norrköping FK,212
Johannes Bjarnason,IFK Norrköping FK,198
Kalpi Wilfried Ouattara,Östersund,92
Sebastian Lagerlund,BK Häcken,200
Amar Abdirahman Ahmed,AIK,202
